output_text,input_text,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,sentence_6,sentence_7,sentence_8
acne,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.,I've been having a really bad rash on my skin lately. ,It's full of pus-filled pimples and blackheads. ,My skin has also been scurring a lot.,no more information,,,, 
acne,I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive.,I've just developed a severe rash on my skin.,It's clogged with pus-filled pimples and blackheads.,My skin has also been quite sensitive.,no more information,,,, 
allergy,"My skin is itchy and red. Sometimes, it can peel. My lips and cheeks swell, and it is really annoying. I sometimes get headaches and watery eyes because of the swelling.",My skin is itchy and red.,"Sometimes, it can peel.","My lips and cheeks swell, and it is really annoying.",I sometimes get headaches and watery eyes because of the swelling.,no more information,,, 
allergy,"I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start.",I have a sore throat and I am sneezing all the time.,"Sometimes my face swells up, especially my lips and the area around my eyes.",I can't stop sneezing once I start.,no more information,,,, 
arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,I've been feeling really weak in my muscles and my neck has been really stiff.,My joints have been swelling up and it's hard for me to move around without feeling stiff.,Walking has been really painful too.,no more information,,,, 
arthritis,"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.","I've been having a lot of pain in my joints, especially in my neck and shoulders.",It's hard to move around and I'm always feeling stiff.,I've also been having trouble sleeping because of the pain.,no more information,,,, 
bronchial asthma,"I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus.",I've been having a hard time breathing lately.,"I feel like I can't get enough air, and my chest feels tight.","I've also been coughing a lot, and I've been producing a lot of mucus.",no more information,,,, 
bronchial asthma,"I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak.",I've been having a hard time breathing.,"I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus.",I've also been feeling really tired and weak.,no more information,,,, 
cervical spondylosis,I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.,I have been having back pain for a while now.,It's been getting worse lately.,I also have a cough that won't go away.,I've been feeling weak in my arms and legs.,My neck hurts and I've been feeling dizzy and off balance.,no more information,, 
cervical spondylosis,"I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs.",I've been having trouble with my neck.,"It's been hurting, and I've been having trouble staying balanced.",I've also been having numbness in my arms and legs.,no more information,,,, 
chicken pox,"I've had a high fever for the past few days. I don't know what's causing it. Also, I noticed rashes on my skin and it's hard for me to resist scratching.",I've had a high fever for the past few days.,I don't know what's causing it.,"Also, I noticed rashes on my skin and it's hard for me to resist scratching.",no more information,,,, 
chicken pox,There are small red spots all over my body that I can't explain. It's worrying me. I feel extremely tired and experience a mild fever every night.,There are small red spots all over my body that I can't explain. ,It's worrying me. , I feel extremely tired and experience a mild fever every night.,no more information,,,, 
common cold,I feel weak and my lymph nodes are swollen. My eyes burn and my throat hurts. My sinuses are congested and my nose is stuffy. I can't smell anything and my chest hurts.,I feel weak and my lymph nodes are swollen.,My eyes burn and my throat hurts.,My sinuses are congested and my nose is stuffy.,I can't smell anything and my chest hurts.,no more information,,, 
common cold,"I've been coughing a lot and I'm freezing. My nose is stuffed up and my face hurts. I've also been coughing up some nasty stuff, my chest hurts, and my muscles hurt. I can't smell anything.",I've been coughing a lot and I'm freezing.,My nose is stuffed up and my face hurts.,"I've also been coughing up some nasty stuff, my chest hurts, and my muscles hurt.",I can't smell anything.,no more information,,, 
diabetes,I have mood swings and have trouble concentrating. My mind feels hazy and foggy at times and it gets difficult to do even regular chores. I also have a lot of thirst and I have to pee a lot.,I have mood swings and have trouble concentrating.,My mind feels hazy and foggy at times and it gets difficult to do even regular chores.,I also have a lot of thirst and I have to pee a lot.,no more information,,,, 
diabetes,I've been drinking a lot more water and going to the bathroom a lot more often. My mouth and throat are always dry. I've been really hungry and eating a lot more lately.,I've been drinking a lot more water and going to the bathroom a lot more often.,My mouth and throat are always dry.,I've been really hungry and eating a lot more lately.,no more information,,,, 
dimorphic hemorrhoids,"Constipation, discomfort with bowel motions, and anus pain have all recently been bothering me. My anus has been quite inflamed, and my stool has been extremely bloody.","Constipation, discomfort with bowel motions, and anus pain have all recently been bothering me. ","My anus has been quite inflamed, and my stool has been extremely bloody.",no more information,,,,, 
dimorphic hemorrhoids,"Lately I've been experiencing constipation, pain during bowel movements, and pain in my anus. My stool has also been really bloody and my anus has been really irritated.","Lately I've been experiencing constipation, pain during bowel movements, and pain in my anus.",My stool has also been really bloody and my anus has been really irritated.,no more information,,,,, 
fungal infection,I have a rash all over my body. It is itchy and red. There are some patches that are a different color than the rest of my skin. I also have some pimples that look like little balls.,I have a rash all over my body.,It is itchy and red.,There are some patches that are a different color than the rest of my skin.,I also have some pimples that look like little balls.,no more information,,, 
fungal infection,"I have red spots all over my body, and they are itchy. Some of the spots are a different color than my skin. I also have some lumps or pimples on my skin.","I have red spots all over my body, and they are itchy.",Some of the spots are a different color than my skin.,I also have some lumps or pimples on my skin.,no more information,,,, 
gastroesophageal reflux disease,"I have trouble swallowing, and I don't feel like eating. I often feel full, even after eating just a little. I also have heartburn, nausea, and tingling in my throat.","I have trouble swallowing, and I don't feel like eating.","I often feel full, even after eating just a little.","I also have heartburn, nausea, and tingling in my throat.",no more information,,,, 
gastroesophageal reflux disease,"I'm having trouble eating, and it's hard to swallow. I feel full even after eating a small meal. I also have nausea, heartburn, and a tingling sensation in my throat.","I'm having trouble eating, and it's hard to swallow.",I feel full even after eating a small meal.,"I also have nausea, heartburn, and a tingling sensation in my throat.",no more information,,,, 
hypertension,I was in the middle of a workout when I suddenly felt lightheaded and dizzy. I also had a headache and chest pain. I've been having trouble balancing myself since then.,I was in the middle of a workout when I suddenly felt lightheaded and dizzy.,I also had a headache and chest pain.,I've been having trouble balancing myself since then.,no more information,,,, 
hypertension,I've been having a headache and chest pain. I've also been feeling dizzy and unstable. I'm also having problems focusing.,I've been having a headache and chest pain.,I've also been feeling dizzy and unstable.,I'm also having problems focusing.,no more information,,,, 
impetigo,I have a fever and a headache. I have sores near my nose and rashes on my neck. I'm really struggling right now.,I have a fever and a headache.,I have sores near my nose and rashes on my neck.,I'm really struggling right now.,no more information,,,, 
