,disease,diagnoses,description,Manual label,score
0,allergy,"Illness List:
    1. Allergic Reaction
    2. Angioedema
    3. Contact Dermatitis
    4. Sinusitis","My skin is itchy and red. Sometimes, it can peel. My lips and cheeks swell, and it is really annoying. I sometimes get headaches and watery eyes because of the swelling.",1,5
1,allergy,"Illness List:
    1. Allergic Rhinitis
    2. Allergic Reaction (Angioedema)
    3. Common Cold
    4. Viral Infection","I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start.",1,3
2,allergy,"Illness List:
    1. Gastroesophageal Reflux Disease (GERD)
    2. Gastritis
    3. Anxiety or Panic Disorder
    4. Peptic Ulcer Disease","I feel sick to my stomach, lightheaded, and dizzy. My throat is swollen and I can't breathe well. I sometimes feel pain in my chest and nausea at night.",0,0
3,arthritis,"Illness List:
    1. Rheumatoid Arthritis
    2. Osteoarthritis
    3. Lupus
    4. Polymyalgia Rheumatica",I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,1,5
4,arthritis,"Illness List:
    1. Fibromyalgia
    2. Rheumatoid Arthritis
    3. Osteoarthritis
    4. Polymyalgia Rheumatica","I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.",1,3
5,arthritis,"Illness List:
    1. Rheumatoid Arthritis
    2. Myasthenia Gravis
    3. Fibromyalgia
    4. Polymyositis",My neck has been extremely stiff and my muscles have been extremely weak. I have difficulty moving around without feeling stiff because of the swelling in my joints. Walking is also very difficult.,1,5
6,bronchial asthma,"Illness List:
1. Asthma
2. Anxiety-Related Breathing Difficulty
3. Chronic Obstructive Pulmonary Disease (COPD)
4. Pulmonary Embolism","I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus.",1,5
7,bronchial asthma,"Illness List:
    1. Chronic Obstructive Pulmonary Disease (COPD)
    2. Pneumonia
    3. Acute Bronchitis
    4. Asthma","I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak.",1,3
8,bronchial asthma,"Illness List:
    1. Pneumonia
    2. Acute bronchitis
    3. Influenza (flu)
    4. COVID-19","I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus.",0,0
9,cervical spondylosis,"Illness List:
    1. Cervical spondylosis
    2. Vestibular disorder
    3. Herniated cervical disc
    4. Multiple sclerosis",I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.,1,5
10,cervical spondylosis,"Illness List:
    1. Cervical Radiculopathy
    2. Cervical Spondylosis
    3. Peripheral Neuropathy
    4. Vestibular Dysfunction","I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs.",1,3
11,cervical spondylosis,"Illness List:
    1. Cervical Spondylotic Myelopathy
    2. Multiple Sclerosis
    3. Lyme Disease
    4. Chronic Fatigue Syndrome","I've been having a lot of trouble with my neck. It's been hurting, and I've been having problems with vertigo and balance loss. I've also been having a persistent cough, weakness in my arms and legs, and severe back pain.",1,5
12,chicken pox,"Illness List:
    1. Food Allergy
    2. Viral Exanthema
    3. Drug Rash
    4. Dermatitis",I am feeling very sick. I have no appetite and I feel like vomiting. I have also noticed some red spots on my skin. I am worried about my health.,0,0
13,chicken pox,"Illness List:
    1. Chronic Fatigue Syndrome
    2. Depression
    3. Sleep Apnea
    4. Hypothyroidism","I've been feeling really tired lately. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself. I've also been having a lot of trouble sleeping.",0,0
14,chicken pox,"Illness List:
    1. Allergic Reaction
    2. Viral Exanthem
    3. Drug-Induced Rash
    4. Systemic Lupus Erythematosus",I have rashes on my arms and neck that itch when I scratch them. I also have a fever. I don't know what is causing it. The itching is really bothering me.,0,0
15,common cold,"Illness List:
    1. Viral Upper Respiratory Infection (such as COVID-19)
    2. Acute Sinusitis
    3. Pneumonia
    4. Anosmia due to Viral Infection (loss of smell)",I feel weak and my lymph nodes are swollen. My eyes burn and my throat hurts. My sinuses are congested and my nose is stuffy. I can't smell anything and my chest hurts.,1,5
16,common cold,"Illness List:
    1. COVID-19
    2. Sinusitis
    3. Influenza (Flu)
    4. Bronchitis","I've been coughing a lot and I'm freezing. My nose is stuffed up and my face hurts. I've also been coughing up some nasty stuff, my chest hurts, and my muscles hurt. I can't smell anything.",1,2
17,common cold,"Illness List:
    1. Sinusitis
    2. Viral Pharyngitis
    3. Influenza (Flu)
    4. Mononucleosis","I've been sneezing a lot, and I feel really tired. I have a lot of gunk in my nose and throat, and my throat hurts. My neck also feels swollen.",1,2
18,dengue,"Illness List:
    1. Viral Exanthem
    2. Food Allergy
    3. Vasculitis
    4. Systemic Lupus Erythematosus (SLE)","I have been feeling very tired and weak. I have also been vomiting and have developed rashes on my arms, neck, and legs. ",0,0
19,dengue,"Illness List:
    1. Viral Infection
    2. Sinusitis
    3. Migraine
    4. Tension Headache",I have been having a really bad headache that is behind my eyes. I also have no appetite and feel really cold at night. ,1,5
