input_text,model_output,real_label,manual_label,score
"My skin is itchy and red. Sometimes, it can peel. My lips and cheeks swell, and it is really annoying. I sometimes get headaches and watery eyes because of the swelling.","['Allergic Reaction', 'Angioedema', 'Eczema', 'Contact Dermatitis']",allergy,1,5
"I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start.","['Allergic Rhinitis', 'Angioedema', 'Allergic Reaction', 'Common Cold']",allergy,1,5
"I feel sick to my stomach, lightheaded, and dizzy. My throat is swollen and I can't breathe well. I sometimes feel pain in my chest and nausea at night.","['Anaphylaxis', 'Angioedema', 'Gastroesophageal Reflux Disease (GERD)', 'Upper Respiratory Infection']",allergy,1,5
I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,"['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Fibromyalgia', 'Osteoarthritis']",arthritis,1,5
"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.","['Fibromyalgia', 'Rheumatoid arthritis', 'Osteoarthritis', 'Cervical spondylosis']",arthritis,1,3
My neck has been extremely stiff and my muscles have been extremely weak. I have difficulty moving around without feeling stiff because of the swelling in my joints. Walking is also very difficult.,"['Rheumatoid Arthritis', 'Cervical Spondylosis', 'Fibromyalgia', 'Myasthenia Gravis']",arthritis,1,5
"I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus.","['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Pneumonia', 'Bronchitis']",bronchial asthma,1,3
"I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak.","['Pneumonia', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Asthma']",bronchial asthma,1,1
"I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus.","['Pneumonia', 'Bronchitis', 'COVID-19', 'Flu']",bronchial asthma,1,1
I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.,"['Cervical spondylosis', 'Intervertebral disc herniation', 'Chronic bronchitis', 'Labyrinthitis']",cervical spondylosis,1,3
"I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs.","['Cervical Disc Herniation', 'Cervical Spondylosis', 'Peripheral Neuropathy', 'Multiple Sclerosis']",cervical spondylosis,1,3
"I've been having a lot of trouble with my neck. It's been hurting, and I've been having problems with vertigo and balance loss. I've also been having a persistent cough, weakness in my arms and legs, and severe back pain.","['Cervical Spondylosis', 'Cervicogenic Dizziness', 'Multiple Sclerosis', 'Thoracic Outlet Syndrome']",cervical spondylosis,1,5
I am feeling very sick. I have no appetite and I feel like vomiting. I have also noticed some red spots on my skin. I am worried about my health.,"['Gastroenteritis', 'Food Poisoning', 'Stomach Flu', 'Scarlet Fever']",chicken pox,0,0
"I've been feeling really tired lately. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself. I've also been having a lot of trouble sleeping.","['Chronic Fatigue Syndrome', 'Depression', 'Insomnia', 'Hypothyroidism']",chicken pox,0,0
I have rashes on my arms and neck that itch when I scratch them. I also have a fever. I don't know what is causing it. The itching is really bothering me.,"['Allergic Reaction', 'Viral Exanthem', 'Contact Dermatitis', 'Scarlet Fever']",chicken pox,1,3
I feel weak and my lymph nodes are swollen. My eyes burn and my throat hurts. My sinuses are congested and my nose is stuffy. I can't smell anything and my chest hurts.,"['Sinusitis', 'Viral Infection', 'Mononucleosis', 'Allergic Rhinitis']",common cold,0,0
"I've been coughing a lot and I'm freezing. My nose is stuffed up and my face hurts. I've also been coughing up some nasty stuff, my chest hurts, and my muscles hurt. I can't smell anything.","['Flu (Influenza)', 'Bronchitis', 'Sinusitis', 'Pneumonia']",common cold,1,5
"I've been sneezing a lot, and I feel really tired. I have a lot of gunk in my nose and throat, and my throat hurts. My neck also feels swollen.","['Flu', 'Sinusitis', 'Common Cold', 'Mononucleosis']",common cold,1,5
"I have been feeling very tired and weak. I have also been vomiting and have developed rashes on my arms, neck, and legs. ","['Viral Infection', 'Allergic Reaction', 'Chronic Fatigue Syndrome', 'Autoimmune Disorder']",dengue,1,5
I have been having a really bad headache that is behind my eyes. I also have no appetite and feel really cold at night. ,"['Migraine', 'Sinusitis', 'Tension Headache', 'Viral Infection']",dengue,1,1
"I have been feeling very tired and weak. I have also been vomiting and have developed rashes on my arms, neck, and legs. ","['Allergic Reaction', 'Viral Infection', 'Gastroenteritis', 'Autoimmune Disorder']",dengue,1,3
I have mood swings and have trouble concentrating. My mind feels hazy and foggy at times and it gets difficult to do even regular chores. I also have a lot of thirst and I have to pee a lot.,"['Diabetes Mellitus', 'Major Depressive Disorder', 'Bipolar Disorder', 'Attention Deficit Hyperactivity Disorder (ADHD)']",diabetes,1,5
I've been drinking a lot more water and going to the bathroom a lot more often. My mouth and throat are always dry. I've been really hungry and eating a lot more lately.,"['Diabetes Mellitus', 'Diabetes Insipidus', 'Hyperthyroidism', 'Hypercalcemia']",diabetes,1,5
I'm always feeling tired and worn out. My vision is blurry and seems to be getting worse. I also get dizzy and lightheaded sometimes.,"['Diabetes', 'Anemia', 'Hypothyroidism', 'Multiple Sclerosis']",diabetes,1,5
I have been feeling very sick lately. I have been having chest pain and I feel very nauseous. I also sweat a lot.,"['Myocardial Infarction', 'Gastroesophageal Reflux Disease (GERD)', 'Pneumonia', 'Anxiety Disorder']",drug reaction,0,0
I have a lot of nausea and chest pain. My chest has been hurting for a while now. I shiver a lot and I'm really anxious.,"['Panic Attack', 'Gastroesophageal Reflux Disease (GERD)', 'Angina', 'Gastritis']",drug reaction,0,0
I have been having headaches and migraines. I have been having difficulty sleeping. I have been having muscle twitching and tremors. Sometimes I get lightheaded. I think it might be a reaction to my medication.,"['Medication Side Effects', 'Migraines', 'Tension Headache', 'Anxiety Disorder']",drug reaction,1,5
I have a rash all over my body. It is itchy and red. There are some patches that are a different color than the rest of my skin. I also have some pimples that look like little balls.,"['Contact Dermatitis', 'Eczema', 'Psoriasis', 'Folliculitis']",fungal infection,0,0
"I have red spots all over my body, and they are itchy. Some of the spots are a different color than my skin. I also have some lumps or pimples on my skin.","['Allergic Reaction', 'Eczema', 'Psoriasis', 'Contact Dermatitis']",fungal infection,0,0
I have a really itchy rash on my skin and there are some weird spots that are a different color. There are also some bumps on my skin that look like little knots. I think it might be a fungal infection.,"['Tinea Versicolor', 'Eczema', 'Psoriasis', 'Lichen Planus']",fungal infection,1,5
"I have trouble swallowing, and I don't feel like eating. I often feel full, even after eating just a little. I also have heartburn, nausea, and tingling in my throat.","['Gastroesophageal Reflux Disease (GERD)', 'Esophagitis', 'Stomach Ulcer', 'Gastroparesis']",gastroesophageal reflux disease,1,5
"I'm having trouble eating, and it's hard to swallow. I feel full even after eating a small meal. I also have nausea, heartburn, and a tingling sensation in my throat.","['Gastroesophageal Reflux Disease (GERD)', 'Esophagitis', 'Gastroparesis', 'Esophageal Cancer']",gastroesophageal reflux disease,1,5
I get heartburn and indigestion a lot. It's worse when I eat spicy or fatty foods. I also get chest pain that gets worse when I lie down or bend over.,"['Gastroesophageal Reflux Disease (GERD)', 'Hiatal Hernia', 'Peptic Ulcer Disease', 'Gastritis']",gastroesophageal reflux disease,1,5
I was in the middle of a workout when I suddenly felt lightheaded and dizzy. I also had a headache and chest pain. I've been having trouble balancing myself since then.,"['Heart Attack', 'Heat Exhaustion', 'Inner Ear Disorder', 'Stroke']",hypertension,0,0
