,disease,diagnosis lists,manual_label_1,manual label,Score,conversations
0,acne,"['Acne Vulgaris', 'Folliculitis', 'Hidradenitis Suppurativa', 'Sebaceous Cyst']",1,1,5,"[""Patient: I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scarring a lot."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Hidradenitis Suppurativa', 'Sebaceous Cyst']"", 'Doctor: To better understand your symptoms, I need some additional information. Could you describe any specific areas of your body where the rash is concentrated? Are there any factors that seem to worsen or improve your condition? Let me know if there are any additional symptoms or details you can provide.', ""Patient: The rash is mainly on my face, but I also have some on my back and shoulders. It seems to get worse when I'm stressed or eat greasy foods. I do not have more information."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Hidradenitis Suppurativa', 'Sebaceous Cyst']"", ""Doctor: Based on the symptoms you've described and the locations affected, your condition appears most consistent with Acne Vulgaris. This condition often presents as pus-filled pimples and blackheads, and is known to worsen with stress and certain dietary factors like greasy foods. The scarring and involvement of the face, back, and shoulders are typical as well. You might also want to consider conditions like Folliculitis, Hidradenitis Suppurativa, or Sebaceous Cysts, which can share some overlapping symptoms. It would be advisable to consult a dermatologist or healthcare professional for a definitive diagnosis and treatment recommendations. Since you have no further questions, please take this information to a healthcare provider for personalized medical advice.""]"
1,acne,"['Acne Vulgaris', 'Folliculitis', 'Contact Dermatitis', 'Impetigo']",1,1,5,"[""Patient: I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Rosacea', 'Contact Dermatitis']"", ""Doctor: The symptoms you describe could potentially align with conditions such as Acne Vulgaris, Folliculitis, Rosacea, or Contact Dermatitis. Given the severity of your rash and the presence of pus-filled pimples, it is important to gather more information to improve the accuracy of the diagnosis. Could you please share additional details, such as any recent changes in skincare products, your diet, or any other symptoms you're experiencing?"", ""Patient: I haven't changed any skincare products recently, and my diet's been the same. I've noticed that my skin has been quite sensitive lately, but I don't have more information."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Rosacea', 'Contact Dermatitis']"", ""Doctor: Thank you for sharing that information. With the sensitivity of your skin and the presence of pus-filled pimples, it's important to narrow down the diagnosis by considering other factors, such as any exposure to potential allergens or irritants, your history of allergies, or if you've had any recent illnesses. Could you let me know if you've experienced any of these or if there are any other symptoms you're noticing?"", 'Patient: I do not know.', ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Rosacea', 'Contact Dermatitis']"", 'Doctor: Based on the information you have provided so far and the similarity score being high, it seems likely that your symptoms may align with Acne Vulgaris, Folliculitis, Rosacea, or Contact Dermatitis. If possible, could you provide more insights on factors such as any history of similar outbreaks, family history of skin conditions, or any medications or supplements you are currently taking? This additional information could help in narrowing down the diagnosis further.', ""Patient: I don't really have a family history of skin conditions that I know of. I haven't had similar outbreaks before, this is quite new for me. As for medications or supplements, I'm not taking anything specific right now. I do not have more information."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Contact Dermatitis', 'Impetigo']"", ""Doctor: Based on the symptoms you have described, including the severe rash with pus-filled pimples and skin sensitivity, the potential conditions could be Acne Vulgaris, Folliculitis, Contact Dermatitis, or possibly Impetigo. It's important to consult with a healthcare professional for an accurate diagnosis and appropriate treatment plan, especially since this outbreak is new for you and there is no family history of similar skin conditions. Please take care and seek medical attention if your symptoms persist or worsen.""]"
2,allergy,"['Allergic Reaction', 'Contact Dermatitis', 'Urticaria', 'Eczema']",1,1,5,"['Patient: Hello, doctor. My skin is itchy and red, and sometimes, it can peel. My lips and cheeks swell, which is really annoying. I also sometimes get headaches and watery eyes because of the swelling.', ""Diagnosis: ['Allergic Reaction', 'Contact Dermatitis', 'Urticaria', 'Eczema']"", ""Doctor: Based on your symptoms of itchy and red skin, peeling, swelling of lips and cheeks, headaches, and watery eyes, there are a few possible conditions such as an allergic reaction, contact dermatitis, urticaria, or eczema. To improve the accuracy of the diagnosis, could you provide more information? For instance, any recent exposure to new foods, products, or environments, or any patterns you've noticed in your symptoms?"", 'Patient: I do not have more information.', ""Diagnosis: ['Allergic Reaction', 'Contact Dermatitis', 'Urticaria', 'Eczema']"", 'Doctor: Based on the symptoms you provided, including itchy and red skin, peeling, swelling of the lips and cheeks, headaches, and watery eyes, the potential conditions might include an allergic reaction, contact dermatitis, urticaria, or eczema. It would be best to consult with a healthcare professional for an accurate diagnosis and appropriate treatment plan. If any of the symptoms worsen or new symptoms arise, please seek medical attention promptly.']"
3,allergy,"['Allergic Rhinitis', 'Angioedema', 'Viral Upper Respiratory Infection', 'Sinusitis']",1,1,5,"[""Patient: Hello, Doctor. I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start."", ""Diagnosis: ['Allergic Rhinitis', 'Angioedema', 'Viral Upper Respiratory Infection', 'Sinusitis']"", 'Doctor: To improve the accuracy of the diagnosis, could you please provide more information about any other symptoms you might be experiencing, any known allergies, recent exposures, or whether you have a fever?', ""Patient: I have a sore throat, and I can't stop sneezing once I start. Sometimes my face swells up, especially my lips and the area around my eyes. I do not know about any known allergies and do not have a fever. I do not have more information."", ""Diagnosis: ['Allergic Rhinitis', 'Angioedema', 'Viral Upper Respiratory Infection', 'Sinusitis']"", ""Doctor: Based on the symptoms you've described, including persistent sneezing, facial swelling especially around the lips and eyes, and a sore throat, the potential conditions include Allergic Rhinitis, Angioedema, Viral Upper Respiratory Infection, and Sinusitis. Since you have no further questions, I recommend consulting a medical professional for an accurate diagnosis and appropriate management of your symptoms. Take care.""]"
4,arthritis,"['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Lupus', 'Fibromyalgia']",1,1,5,"[""Patient: Hello, Doctor. I've been feeling really weak in my muscles, and my neck has been really stiff. My joints have been swelling up, and it's hard for me to move around without feeling stiff. Walking has been really painful too."", ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Lupus', 'Fibromyalgia']"", ""Doctor: Based on the symptoms you've described—muscle weakness, stiff neck, joint swelling, and painful movement—there are a few possible conditions that could be causing these issues. These include Rheumatoid Arthritis, Polymyalgia Rheumatica, Lupus, and Fibromyalgia. However, the current information is not specific enough to make an accurate assessment. Could you provide more details about your symptoms? For example, when did they start, and have they been constant or do they fluctuate?"", 'Patient: The symptoms started a few months ago, and they mostly have been constant. The muscle weakness and neck stiffness are present almost daily. The joint swelling and pain make it especially hard to move around without feeling stiff, and walking is quite painful.', ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Lupus', 'Fibromyalgia']"", 'Doctor: Thank you for providing that information. Given the constant nature of your symptoms starting a few months ago and the persistent muscle weakness, neck stiffness, joint swelling, and pain during movement, conditions such as Rheumatoid Arthritis, Polymyalgia Rheumatica, Lupus, and Fibromyalgia could be possibilities. However, to improve the accuracy of the diagnosis, I need more details. Could you tell me if there are any specific triggers or relief factors for your symptoms? Also, have you noticed any associated symptoms, such as fever, skin rashes, or changes in appetite or weight?', ""Patient: I do not know. I haven't noticed any specific triggers or relief factors for my symptoms. I also do not have more information concerning associated symptoms like fever, skin rashes, or changes in appetite or weight."", ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Lupus', 'Fibromyalgia']"", ""Doctor: Based on the persistent muscle weakness, neck stiffness, joint swelling, and painful movement that you have described, Rheumatoid Arthritis, Polymyalgia Rheumatica, Lupus, and Fibromyalgia are relevant considerations. Given that you haven't noticed specific triggers or additional symptoms such as fever, skin rashes, or changes in appetite, it would be beneficial to further investigate these conditions. Would you like to discuss more about your symptoms, or is there anything else you'd like to share that could help refine the diagnosis?"", 'Patient: I do not have more information.', ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Lupus', 'Fibromyalgia']"", ""Doctor: Based on the information you've provided—persistent muscle weakness, neck stiffness, joint swelling, and painful movement—the conditions Rheumatoid Arthritis, Polymyalgia Rheumatica, Lupus, and Fibromyalgia remain relevant possibilities. However, it's important to consult a medical professional for a thorough examination and accurate diagnosis, as they may consider other less common conditions or additional tests. I recommend reaching out to a healthcare provider to discuss your symptoms in more detail.""]"
5,arthritis,"['Fibromyalgia', 'Polymyalgia Rheumatica', 'Rheumatoid Arthritis', 'Osteoarthritis']",0,1,2,"[""Patient: I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain."", ""Diagnosis: ['Rheumatoid Arthritis', 'Osteoarthritis', 'Fibromyalgia', 'Polymyalgia Rheumatica']"", 'Doctor: To improve the accuracy of the diagnosis, could you provide more information about your symptoms? Are there any signs of swelling or redness around the joints, any fever, recent injuries, or changes in appetite or weight? Your input will help us narrow down the potential causes of your joint pain.', ""Patient: I've been experiencing pain in my joints, particularly in my neck and shoulders. It's been hard to move around, and I feel really stiff all the time. I haven't noticed any swelling or redness around the joints. I do not have a fever, and there haven't been any recent injuries. I haven't noticed any changes in my appetite or weight."", ""Diagnosis: ['Fibromyalgia', 'Polymyalgia Rheumatica', 'Rheumatoid Arthritis', 'Osteoarthritis']"", 'Doctor: Thank you for providing additional information. Since there is no swelling, redness, or fever, conditions like Fibromyalgia or Polymyalgia Rheumatica might be more likely. These often involve pain and stiffness in muscles and joints without noticeable swelling. However, we should also consider Rheumatoid Arthritis and Osteoarthritis due to the chronic nature of your symptoms. Could you tell me more about the duration of your symptoms, any other areas experiencing pain, or if any activities worsen or relieve the discomfort? This will help refine our diagnosis.', ""Patient: I've been experiencing these symptoms for several months now. The pain is mainly in my neck and shoulders, but sometimes I feel it in my knees and hips as well. Moving around, especially in the morning, makes it worse, and I feel really stiff when I wake up. Taking it easy and a bit of rest sometimes help relieve the discomfort a bit."", ""Diagnosis: ['Fibromyalgia', 'Polymyalgia Rheumatica', 'Rheumatoid Arthritis', 'Osteoarthritis']"", 'Doctor: Based on your symptoms of joint pain and stiffness, especially after periods of inactivity, conditions like Fibromyalgia or Polymyalgia Rheumatica remain strong possibilities. Both could account for widespread pain and morning stiffness without significant swelling or fever. Rheumatoid Arthritis and Osteoarthritis also remain in consideration due to the chronic, worsening nature of your discomfort. Would you like to provide more specifics about any patterns or changes over the day, or any other accompanying symptoms, like fatigue or mood changes, which could further aid in pinpointing the diagnosis?', ""Patient: I've noticed that the pain and stiffness tend to be worse in the morning when I wake up and after I've been sitting still for a while. I also feel really tired a lot of the time. I haven't noticed any significant changes in my mood, though."", ""Diagnosis: ['Fibromyalgia', 'Polymyalgia Rheumatica', 'Rheumatoid Arthritis', 'Osteoarthritis']"", 'Doctor: Based on the detailed symptoms you provided and the similarity score, it appears that Fibromyalgia and Polymyalgia Rheumatica are quite relevant due to the widespread pain, stiffness especially after inactivity, and fatigue. Rheumatoid Arthritis and Osteoarthritis also remain possibilities given the chronic nature of your discomfort and morning stiffness. Please let me know if there are any other symptoms or details you would like to discuss to help refine the diagnosis further.', 'Patient: I do not have more information.', ""Diagnosis: ['Fibromyalgia', 'Polymyalgia Rheumatica', 'Rheumatoid Arthritis', 'Osteoarthritis']"", ""Doctor: Based on the symptoms you've described and the information you've provided, Fibromyalgia and Polymyalgia Rheumatica are the most relevant conditions due to the widespread pain, stiffness especially after inactivity, and fatigue. Rheumatoid Arthritis and Osteoarthritis also continue to be possibilities given the chronic nature of your discomfort and morning stiffness. I recommend consulting a medical professional for a thorough examination and to explore further diagnostic options like imaging or lab tests. Please reach out if you have more questions or need further assistance.""]"
6,bronchial asthma,"['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']",1,1,5,"[""Patient: I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus."", ""Diagnosis: ['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']"", ""Doctor: The symptoms you're experiencing, such as difficulty breathing, chest tightness, cough, and mucus production, could be indicative of several respiratory conditions like asthma, COPD, bronchitis, or pneumonia. To improve the accuracy of the diagnosis, could you please provide more information about other symptoms you might be experiencing or any relevant medical history?"", 'Patient: I do not have more information.', ""Diagnosis: ['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']"", ""Doctor: Based on the symptoms you've described and our conversation, your symptoms could be indicative of respiratory conditions such as asthma, COPD, bronchitis, or pneumonia. Although additional information can further refine a diagnosis, given the similarities of your symptoms to these conditions, it's crucial to consult a medical professional for a thorough evaluation and appropriate treatment.""]"
7,bronchial asthma,"['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Acute Bronchitis', 'Emphysema']",0,1,4,"[""Patient: Hello, doctor. I've been having a hard time breathing. I'm also coughing a lot and bringing up a thick, sticky mucus. I've been feeling really tired and weak as well."", ""Diagnosis: ['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Pneumonia', 'Acute Bronchitis']"", ""Doctor: Hello, it sounds like you're experiencing some significant respiratory symptoms. To improve the accuracy of the diagnosis, could you please provide more details? For example, how long have you been experiencing these symptoms? Are the symptoms more severe during certain times of the day or after specific activities? Any additional symptoms like fever or wheezing?"", ""Patient: I've been having these symptoms for a while, maybe a few weeks. They seem to get worse after I do physical activities or in the early morning and late at night. I do hear some wheezing when I breathe, but I don't have a fever."", ""Diagnosis: ['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Pneumonia', 'Acute Bronchitis']"", 'Doctor: Thank you for providing more details. Based on your symptoms—difficulty in breathing, coughing with mucus, fatigue, and wheezing without a fever—possible conditions include Chronic Obstructive Pulmonary Disease (COPD), Asthma, Pneumonia, or Acute Bronchitis. Your symptoms lasting a few weeks, worsening after physical activity, and occurring more in the early morning or late at night are important details. Would you like to provide any additional information to help refine the diagnosis, such as any history of smoking or other underlying health conditions?', 'Patient: I do not have more information.', ""Diagnosis: ['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Acute Bronchitis', 'Emphysema']"", ""Doctor: Based on the symptoms you've described—difficulty breathing, coughing with mucus, fatigue, wheezing, and the timing of symptoms in relation to physical activities—it appears that the most likely conditions could include Chronic Obstructive Pulmonary Disease (COPD), Asthma, Acute Bronchitis, or possibly Emphysema. I recommend following up with a medical professional who can conduct a more thorough examination and potentially perform diagnostic tests to reach a definitive diagnosis. Take care and ensure you get the appropriate medical evaluation.""]"
8,cervical spondylosis,"['Spinal Cord Compression', 'Multiple Sclerosis', 'Lyme Disease', 'Cervical Spondylosis']",0,1,1,"[""Patient: Hello, doctor. I've been having back pain for a while now, and it seems to be getting worse. I also have a cough that won't go away. I've been feeling weak in my arms and legs, my neck hurts, and I've been feeling dizzy and off balance."", ""Diagnosis: ['Spinal Cord Compression', 'Multiple Sclerosis', 'Lyme Disease', 'Cervical Spondylosis']"", ""Doctor: It sounds like you're experiencing a combination of symptoms including back pain, persistent cough, weakness in your limbs, neck pain, dizziness, and balance issues. These could be indicative of several conditions such as Spinal Cord Compression, Multiple Sclerosis, Lyme Disease, or Cervical Spondylosis. To improve the accuracy of the diagnosis, could you provide more details about your symptoms? For example, have you noticed any specific triggers for these symptoms or any recent changes in your health?"", ""Patient: I don't know."", ""Diagnosis: ['Spinal Cord Compression', 'Multiple Sclerosis', 'Lyme Disease', 'Cervical Spondylosis']"", ""Doctor: Thank you for sharing that information. To better understand your condition and improve the accuracy of our diagnosis, it would be helpful to know if you've experienced any recent infections, injuries, or significant stress. Additionally, you could tell me if there's been any change in bowel or bladder function or if the dizziness happens during specific activities. Your input will help narrow down the possibilities. Please let me know if you would like to share more information."", 'Patient: I do not have more information.', ""Diagnosis: ['Spinal Cord Compression', 'Multiple Sclerosis', 'Lyme Disease', 'Cervical Spondylosis']"", ""Doctor: Based on your symptoms of back pain, persistent cough, limb weakness, neck pain, dizziness, and balance issues, these could potentially indicate conditions such as Spinal Cord Compression, Multiple Sclerosis, Lyme Disease, or Cervical Spondylosis. It's important to consult with a medical professional who can perform a thorough examination and potentially order diagnostic tests to determine the exact cause of your symptoms. Please seek medical attention promptly to address these concerns.""]"
9,cervical spondylosis,"['Cervical Spondylosis', 'Cervical Disc Herniation', 'Multiple Sclerosis', 'Peripheral Neuropathy']",1,1,5,"[""Patient: I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs."", ""Diagnosis: ['Cervical Spondylosis', 'Cervical Disc Herniation', 'Multiple Sclerosis', 'Peripheral Neuropathy']"", ""Doctor: From your description of neck pain, balance issues, and numbness in the arms and legs, several conditions such as Cervical Spondylosis or Cervical Disc Herniation could be considered. There are also possibilities like Multiple Sclerosis or Peripheral Neuropathy. To improve the accuracy of the diagnosis, could you provide more information about how long you've been experiencing these symptoms, any recent injuries, or if there are other symptoms you've noticed?"", ""Patient: I've been experiencing these symptoms for a few weeks now. I haven't had any recent injuries that I can think of. Other than the neck pain, trouble with balance, and numbness in my arms and legs, I do not have more information."", ""Diagnosis: ['Cervical Spondylosis', 'Cervical Disc Herniation', 'Multiple Sclerosis', 'Peripheral Neuropathy']"", ""Doctor: Given your symptoms of neck pain, balance issues, and numbness in the arms and legs without a recent injury, conditions like Cervical Spondylosis and Cervical Disc Herniation remain possible. Multiple Sclerosis and Peripheral Neuropathy also need to be considered. It's important to get a thorough clinical evaluation and possibly imaging studies done. Can you tell me more about any other symptoms or changes you've noticed in your daily routine or activities?"", 'Patient: I do not have more information.', ""Diagnosis: ['Cervical Spondylosis', 'Cervical Disc Herniation', 'Multiple Sclerosis', 'Peripheral Neuropathy']"", 'Doctor: Based on your symptoms of neck pain, balance issues, and numbness in the arms and legs, potential conditions could include Cervical Spondylosis or Cervical Disc Herniation, and neurological conditions such as Multiple Sclerosis or Peripheral Neuropathy. I strongly advise consulting a healthcare professional for a thorough evaluation and appropriate diagnostic testing as these can provide a clearer understanding and necessary treatment. If there are any changes in your symptoms or new symptoms develop, please seek medical attention promptly.']"
