,disease,diagnosis lists,manual_label_1,manual label,score,conversations
0,acne,"['Acne', 'Folliculitis', 'Contact Dermatitis', 'Eczema']",1,1,5,"[""Patient: Hello, Doctor. I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scarring a lot."", ""Doctor: Thank you for sharing these details about your skin condition. To improve the accuracy of the diagnosis, could you please tell me if you're experiencing any additional symptoms such as itching, fever, or if you've noticed any triggers that worsen the rash?"", ""Patient: I haven't noticed any fever, but the rash is really itchy. I haven't identified any specific triggers that make it worse."", ""Doctor: Thank you for providing more details. In order to improve the accuracy of the diagnosis, could you let me know if you've recently changed any skincare products, detergents, or have been exposed to any unusual environments? Any information about your routine or diet changes could also be helpful."", ""Patient: I haven't changed any skincare products or detergents recently, and I haven't been in any unusual environments. My routine and diet have been the same. I do not have more information."", ""Doctor: Based on the symptoms you've described, including the pus-filled pimples, blackheads, scarring, and itchiness, here are some possible conditions that might be affecting your skin: 1) Acne, which often causes pimples and blackheads, and can result in scarring. 2) Folliculitis, an inflammation of hair follicles that can present with pus-filled bumps. 3) Contact Dermatitis, which can be triggered by contact with an irritating substance, although you've mentioned no changes in products or environments. 4) Eczema, which is an itchy, inflammatory skin condition. I strongly recommend consulting a medical professional for a thorough examination to determine the exact cause and receive appropriate treatment. Take care!""]"
1,acne,"['Acne Vulgaris', 'Contact Dermatitis', 'Rosacea', 'Folliculitis']",1,1,5,"[""Patient: Hi, doctor. I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive."", ""Doctor: Thank you for sharing those details. Can you tell me more about the location of the rash and any other symptoms you're experiencing, such as fever or itching, to help narrow down the possibilities?"", ""Patient: The rash is mostly on my face, particularly on my forehead, nose, and cheeks. I haven't noticed any fever, but there is some itching."", ""Doctor: Thank you for providing more details. Can you tell me if you've started using any new skincare products or medications recently? Also, does anyone else in your household have similar symptoms?"", 'Patient: I do not know.', ""Doctor: Thank you for the additional information. Could you tell me if you've been under any stress, or have you noticed any changes in your diet or environment recently? This might help us understand your rash better."", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, the possible conditions could include Acne Vulgaris, which is common and characterized by pimples and blackheads; Contact Dermatitis, potentially due to an irritant or allergen causing the rash; Rosacea, notable for facial redness and sometimes pimples; and Folliculitis, an infection of the hair follicles. It is important to see a healthcare professional for an accurate diagnosis and appropriate treatment. I recommend scheduling an appointment with a dermatologist or your primary care physician to evaluate your symptoms in person. Take care!""]"
2,allergy,"['Allergic Contact Dermatitis', 'Atopic Dermatitis (Eczema)', 'Hay Fever (Allergic Rhinitis)', 'Angioedema']",1,1,5,"['Patient: Hello, Doctor. My skin is itchy and red. Sometimes, it can peel. My lips and cheeks swell, and it is really annoying. I sometimes get headaches and watery eyes because of the swelling.', ""Doctor: Thank you for sharing these details. It sounds like you're experiencing quite a range of symptoms. Could you tell me if there's a particular time or situations when these symptoms seem to worsen? Also, have you noticed any other symptoms or triggers that might help pinpoint the cause of your discomfort?"", ""Patient: I notice that the symptoms tend to worsen when I'm exposed to certain things like dust or pollen. Stress might also make it worse. I do not have more information."", ""Doctor: Based on the symptoms you've described, here are some possible conditions you might be experiencing: 1) Allergic Contact Dermatitis, which is often triggered by allergens such as dust and pollen. 2) Atopic Dermatitis (Eczema), characterized by itchy and red skin that can peel. 3) Hay Fever (Allergic Rhinitis), which can also cause itchy, watery eyes and is often seasonal or triggered by allergens. 4) Angioedema, which involves swelling under the skin and can affect areas like the lips and face. Please consult a medical professional for an accurate diagnosis and appropriate treatment.""]"
3,allergy,"['Allergic Rhinitis', 'Sinusitis', 'Angioedema', 'Common Cold']",1,1,5,"[""Patient: Hello, doctor. I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start."", ""Doctor: It sounds like you might be experiencing symptoms related to allergies or possibly an infection. Could you tell me if you have any additional symptoms such as a fever, body aches, or if you've been exposed to any known allergens recently? This information can help narrow down the possibilities."", ""Patient: I do not have a fever or body aches. I do sneeze a lot, have a sore throat, and sometimes my face swells up, especially around my eyes and lips. I do not know if I've been exposed to any allergens recently."", ""Doctor: Thank you for providing more information. It seems like you're experiencing symptoms that could be related to allergic reactions or sinus issues. Could you let me know if you have noticed any patterns when your symptoms appear, such as specific times of day or exposure to particular environments or substances? This might help us further understand what's causing your symptoms."", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, here are some possible conditions: Allergic Rhinitis, Sinusitis, Angioedema, and the Common Cold. It's important to consult a medical professional for an accurate diagnosis and appropriate treatment. Please take care.""]"
4,arthritis,"['Rheumatoid Arthritis', 'Fibromyalgia', 'Polymyalgia Rheumatica', 'Systemic Lupus Erythematosus']",1,1,5,"[""Patient: Hello, I've been feeling really weak in my muscles, and my neck has been really stiff. My joints have been swelling up, and it's hard for me to move around without feeling stiff. Walking has been really painful as well."", ""Doctor: It sounds like you're experiencing a range of symptoms affecting your muscles and joints. Could you please provide more details? For example, have you noticed any rash, changes in vision, or other symptoms like fever or fatigue? This additional information can help refine the possible diagnoses."", ""Patient: I do feel really fatigued, like I get tired easily. I haven't noticed any rash or changes in my vision, and I don't think I've had a fever."", ""Doctor: Thank you for the additional information. Based on your symptoms of muscle weakness, neck stiffness, joint swelling, stiffness, pain while walking, and fatigue, there are several conditions that could be considered. Could you let me know if you've experienced any of the following: a decrease in appetite, unexpected weight loss, or numbness in your extremities? Any additional symptoms can help further refine the diagnosis."", 'Patient: I do not know.', 'Doctor: Thank you for the details so far. If you notice any new symptoms such as changes in appetite, unexpected weight loss, or numbness in your extremities, please let me know. Gathering complete information can help generate a more accurate list of potential conditions. Do you need any further clarification or have more questions about your symptoms?', 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, here are some possible conditions: Rheumatoid Arthritis, Fibromyalgia, Polymyalgia Rheumatica, and Systemic Lupus Erythematosus. These are complex conditions that can present with similar symptoms such as muscle weakness, joint swelling, and fatigue. It's important to consult a healthcare professional for a thorough examination, accurate diagnosis, and appropriate treatment plan. If you notice any changes in your symptoms or develop new ones, please seek medical attention promptly.""]"
5,arthritis,"['Rheumatoid Arthritis', 'Osteoarthritis', 'Fibromyalgia', 'Polymyalgia Rheumatica']",1,1,5,"[""Patient: I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain."", ""Doctor: Thank you for sharing your symptoms. To improve the accuracy of possible conditions, could you tell me if you're experiencing any swelling, redness, or warmth around your joints? Additionally, have you noticed any other symptoms like fatigue, fever, or changes in your daily functioning?"", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, here are some possible conditions: Rheumatoid Arthritis, Osteoarthritis, Fibromyalgia, and Polymyalgia Rheumatica. These conditions can share similar symptoms such as joint pain, stiffness, and difficulty in movement. It's important to consult a medical professional for an accurate diagnosis and appropriate treatment plan. Please seek medical advice to discuss your symptoms in more detail and receive personalized care.""]"
6,bronchial asthma,"['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Allergic Rhinitis', 'Bronchitis']",1,1,5,"[""Patient: Hello, doctor. I've been having a hard time breathing lately. It feels like I can't get enough air, and my chest feels tight. I've also been coughing a lot and producing a lot of mucus."", ""Doctor: I'm sorry to hear you're feeling this way. Can you tell me if you have any other symptoms, such as fever, wheezing, or if certain activities make it worse? This will help me provide a more accurate assessment."", ""Patient: I've been wheezing a lot, and certain activities like exercising or being exposed to cold air make it worse. I don't have a fever."", 'Doctor: Thank you for providing more details. Your symptoms of wheezing and difficulty breathing, especially with exercise or cold air exposure, could indicate several possible conditions. Could you tell me if you have experienced any recent changes in weight, fatigue, or if you smoke or have allergies? This information could further assist in narrowing down the possibilities.', 'Patient: I do not have any recent changes in weight. I do feel tired and fatigued sometimes. I do not smoke, but I do have some allergies.', 'Doctor: Thank you for providing this information. To help further narrow down the possibilities, could you let me know more about your allergies? For instance, are they seasonal, related to specific triggers, or do they affect your respiratory system significantly? Additionally, have you had any recent upper respiratory infections or changes in air quality in your living environment?', 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, including difficulty breathing, wheezing, a tight chest, and response to certain triggers such as exercise or cold air, there are several possible conditions to consider. These include Asthma, which is often characterized by these symptoms, Chronic Obstructive Pulmonary Disease (COPD), though less likely given your age and non-smoking status, Allergic Rhinitis which can exacerbate respiratory symptoms, and Bronchitis, especially if there's recent mucus production. It is important to consult with a medical professional who can further evaluate your symptoms and provide a definitive diagnosis. Please take care and prioritize visiting a healthcare provider to address these symptoms properly.""]"
7,bronchial asthma,"['Chronic Obstructive Pulmonary Disease (COPD)', 'Asthma', 'Bronchitis', 'Pneumonia']",0,1,4,"[""Patient: Hello, Doctor. I've been having a hard time breathing, and I'm coughing a lot. The cough is producing a lot of thick, sticky mucus. I've also been feeling really tired and weak."", 'Doctor: Thank you for sharing your symptoms. Could you please let me know if you are experiencing any chest pain, fever, or if you have a history of respiratory issues? This information will help me better understand your condition.', 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described—difficulty breathing, a persistent cough producing thick mucus, fatigue, and weakness—there are several possible conditions. These could include Chronic Obstructive Pulmonary Disease (COPD), Asthma, Bronchitis, or Pneumonia. It's important to consult a medical professional for an accurate diagnosis and appropriate treatment. Please take care and seek medical attention promptly.""]"
8,cervical spondylosis,"['Multiple Sclerosis', 'Cervical Spondylosis', 'Chronic Fatigue Syndrome', 'Fibromyalgia']",0,1,4,"[""Patient: I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance."", ""Doctor: I'm gathering that you are experiencing back pain, a persistent cough, weakness in your limbs, neck pain, dizziness, and balance issues. Could you provide more details about your symptoms, like how long you've been experiencing them, any fever, changes in your appetite, or any other symptoms? This information will help narrow down the possible causes."", ""Patient: I've been having back pain and neck pain for quite some time now, and they've been getting worse. The cough has been persistent and won't go away. I've also started feeling weakness in my arms and legs, along with dizziness and difficulty maintaining my balance. I do not have a fever, but I have not noticed any specific changes in my appetite. I do not have more information."", ""Doctor: Based on the symptoms you've described, there are a few possible causes for your condition. These could include Multiple Sclerosis, Cervical Spondylosis, Chronic Fatigue Syndrome, or Fibromyalgia. Each has its own set of symptoms and requires specific investigation and management. It's important that you consult a medical professional to get an accurate diagnosis and appropriate treatment. Please take care and seek further medical evaluation as soon as possible.""]"
9,cervical spondylosis,"['Cervical Radiculopathy', 'Cervical Spondylosis', 'Multiple Sclerosis', 'Cervical Myelopathy']",0,1,4,"[""Patient: I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs."", ""Doctor: I understand that you're experiencing neck pain, balance issues, and numbness in your arms and legs. These symptoms could indicate a few different conditions. Can you tell me more about when these symptoms started and if there are any other symptoms you've noticed? This information could help narrow down the possibilities."", ""Patient: The neck pain and balance issues started a few weeks ago. The numbness in my arms and legs came on a bit later. I don't have any other symptoms that I've noticed."", 'Doctor: Thank you for providing more details. To better understand your condition, could you let me know if the pain or numbness gets worse with certain activities or if you experience any headaches, dizziness, or visual changes?', 'Patient: The pain tends to get worse when I move my neck in certain ways, but I do not have any headaches or visual changes. I have been having some trouble staying balanced, though.', ""Doctor: Thanks for the additional details. The symptoms you're describing could be associated with a few different conditions. Could you let me know if you've experienced any recent injuries or if there's any history of similar issues in your family? Further understanding your background might help narrow down the possibilities."", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, here are some possible conditions that might be causing your discomfort: Cervical Radiculopathy, Cervical Spondylosis, Multiple Sclerosis, and Cervical Myelopathy. It's important to consult with a medical professional to get an accurate diagnosis and appropriate treatment. Please take care and seek medical advice.""]"
